item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,monounsaturated fatty acids,polyunsaturated fatty acids
0000000476,Pastani Makaron Spaghetti Durum 500 g,artykuly-spozywcze,Y,w porcji 100 g,375 kcal,2.1 g,0.8 g,74 g,2.8 g,4 g,13 g,0 g,,
0000006945,Kamis Koperek 6 g,artykuly-spozywcze,N,,,,,,,,,,,
0000000072,Plony Natury Mąka Tortowa pszenna T 450 1 kg,artykuly-spozywcze,Y,w porcji 100 g,345 kcal,1.2 g,0.2 g,71 g,0.5 g,3 g,11 g,0 g,,
0000004208,Podlaski Pasztet drobiowy 195 g,artykuly-spozywcze,Y,w porcji 100 g,181 kcal,15 g,3 g,4 g,0.8 g,,7 g,1.4 g,,
0000003063,Winiary Królewski Rosół wołowy (15 sztuk) 135 g,artykuly-spozywcze,N,,,,,,,,,,,
0000006243,Kamis Mieszanka przyprawowa przyprawa do dań z ziemniaków 25 g,artykuly-spozywcze,Y,w porcji 100 g,185 kcal,3.7 g,0.6 g,23 g,4.1 g,,7.4 g,41.2 g,,
0000007435,Knoppers Baton orzechowy (3 x 40 g) 120 g,artykuly-spozywcze,Y,w porcji 100 g,531 kcal,31.6 g,14.1 g,52.2 g,38.3 g,,8.4 g,0.39 g,,
0000000005,Kujawski Olej rzepakowy z pierwszego tłoczenia 1l,artykuly-spozywcze,Y,w porcji 100 g,900 kcal,100 g,7.5 g,0 g,0 g,,0 g,0 g,65.5 g,26.5 g
0000015428,Dobrusia Makaron krajanka 200 g,artykuly-spozywcze,Y,w porcji 100 g,352 kcal,1.1 g,0.5 g,73 g,3.5 g,2.8 g,11 g,0.01 g,,
0000007584,Lubella Makaron nitki cięte 400 g,artykuly-spozywcze,Y,w porcji 100 g,351 kcal,1.4 g,0.4 g,70 g,4.2 g,,13 g,0.03 g,,
0000006675,Kamis Mieszanka przyprawowa curry 20 g,artykuly-spozywcze,Y,w porcji 100 g,276 kcal,8.5 g,1.5 g,28 g,1.8 g,,12 g,19 g,,
0000006402,Lubella Choco kulki Zbożowe kulki o smaku czekoladowym 500 g,artykuly-spozywcze,Y,w porcji 100 g,377 kcal,4.5 g,1.2 g,71 g,25 g,8.4 g,9 g,0.28 g,,
0000004086,Kamis Pieprz Czarny Mielony 16 g,artykuly-spozywcze,N,,,,,,,,,,,
0000006942,Kamis Mieszanka przyprawowa przyprawa do mięsa mielonego 20 g,artykuly-spozywcze,Y,w porcji 100 g,249 kcal,5.3 g,0.6 g,33 g,9.3 g,,10 g,27.3 g,,
0000015619,Bakello Cukier wanilinowy z dodatkiem ekstraktu z wanilii 16 g,artykuly-spozywcze,Y,w porcji 100 g,398 kcal,0 g,0 g,100 g,99 g,0 g,0 g,0 g,,
0000006936,Kamis Mieszanka przyprawowa przyprawa do gyrosa 30 g,artykuly-spozywcze,Y,w porcji 100 g,232 kcal,8.2 g,1.1 g,23 g,8.3 g,,9.1 g,35.4 g,,
0000002485,Lorenz Monster Munch Original 75 g,artykuly-spozywcze,Y,w porcji 100 g,556 kcal,34 g,2.8 g,60 g,5.1 g,1.4 g,1.8 g,2.8 g,,
0000003059,Winiary Królewski Bulion warzywny (15 sztuk) 135 g,artykuly-spozywcze,N,,,,,,,,,,,
0000005872,Krakus Ogórki konserwowe 920 g,artykuly-spozywcze,Y,w porcji 100 g,33 kcal,0.5 g,0 g,6.6 g,5.8 g,,0.5 g,1 g,,
0000007766,WINIARY Barszcz biały 66 g,artykuly-spozywcze,Y,w porcji 100 ml,22 kcal,0.2 g,0.1 g,3.8 g,1.2 g,0.1 g,1.1 g,0.66 g,,
0000001724,Kamis Musztarda chrzanowa 185 g,artykuly-spozywcze,Y,w porcji 100 g,95 kcal,4 g,0.2 g,10 g,9 g,,3 g,2.56 g,,
