item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,polyols
0000004157,"Halls Cukierki o smaku miodu i cytryny 33,5 g",artykuly-spozywcze,Y,w porcji 100 g,389 kcal,0 g,0 g,97 g,78 g,,0.02 g,0.08 g,
0000009385,Zielnik Polski melisa 20 torebek 40 g,artykuly-spozywcze,Y,w porcji 100 ml,1 kcal,0 g,0 g,0 g,0 g,,0 g,0 g,
0000005119,Profi Pasztet z pomidorami 131 g,artykuly-spozywcze,Y,w porcji 100 g,210 kcal,17 g,5.5 g,5.7 g,1.3 g,,8.3 g,1.4 g,
0000008750,Bonitki Setters Wafelek mleczno-orzechowy 4x25 g,artykuly-spozywcze,Y,w porcji 100 g,530 kcal,30 g,22 g,55 g,33 g,3.6 g,8.3 g,0.3 g,
0000004047,Prince Polo Classic XXL wafelek 50 g,artykuly-spozywcze,Y,w porcji 100 g,526 kcal,29 g,16 g,58 g,39 g,3.8 g,5.6 g,0.32 g,
0000003252,Rapsodia 100% Owoców Wiśnia 220 g,artykuly-spozywcze,Y,w porcji 100 g,150 kcal,0.5 g,0.1 g,33 g,31 g,,0.9 g,0.06 g,
0000011842,Dobrusia Makaron spaghetti 500 g,artykuly-spozywcze,Y,w porcji 100 g,352 kcal,1.1 ,0.5 ,73 ,3.5 ,2.8 ,11 ,,
0000009769,Pudliszki Sos do spaghetti oryginalny 500 g,artykuly-spozywcze,Y,w porcji 100 g,56 kcal,1 g,0.1 g,9 g,7.1 g,2.2 g,1.7 g,,
0000016921,Lay's Chipsy ziemniaczane o smaku śmietankowego serka z ziołami 130 g,artykuly-spozywcze,Y,w porcji 100 g,525 kcal,32 g,3.4 g,50 g,2.1 g,4.4 g,6.8 g,1.7 g,
0000000131,Plony Natury Fasola piękny Jaś 500g,artykuly-spozywcze,Y,w porcji 100 g,303 kcal,1.3 g,0.2 g,43 g,9.3 g,21 g,20 g,0.01 g,
0000011482,Herbaciany Ogród herbatka owocowa imbir z pomarańczą i pigwą 20tb 50 g,artykuly-spozywcze,Y,w porcji 100 g,1 kcal,0 g,0 g,0 g,0 g,,0 g,0 g,
0000016089,Knorr Fix Soczyste Mielone 70 g,artykuly-spozywcze,Y,w porcji 100 g,316 kcal,4.6 g,0.5 g,50 g,3 g,6.3 g,20 g,11.7 g,
0000007962,Elios Papryczki pikantne nadziewane serem 270 g,artykuly-spozywcze,Y,w porcji 100 g,133 kcal,10 g,5.2 g,3.7 g,1 g,1.4 g,5.4 g,1.4 g,
0000000446,Rapsodia Dżem z czarnych porzeczek o obniżonej zawartości cukrów 410 g,artykuly-spozywcze,Y,w porcji 100 g,143 kcal,0.4 g,0.1 g,32 g,32 g,,0.6 g,0.1 g,
0000004357,"Marinero Sushi 9 kawałków (2x California Roll, 3x Hoso Maki, 4x Foto Maki) 230 g",artykuly-spozywcze,Y,w porcji 100 g,137 kcal,3.5 g,0.6 g,22 g,5.3 g,,3.9 g,2 g,
0000004384,Bakallino Orzechy włoskie łuskane 300 g,artykuly-spozywcze,Y,w porcji 100 g,666 kcal,60 g,6.6 g,12 g,9.9 g,6.5 g,16 g,0 g,
0000005092,Culineo Gorąca Chwila Pomidorowa z makaronem 19 g,artykuly-spozywcze,Y,w porcji 100 ml,30 kcal,0.3 g,0.1 g,5.3 g,1.8 g,0.8 g,1.1 g,0.7 g,
0000015007,Jeżyki Herbatniki w czekoladzie mlecznej kokosowe 140 g,artykuly-spozywcze,Y,w porcji 100 g,483 kcal,23 g,14 g,63 g,46 g,,5.2 g,0.37 g,
0000005906,Lubella 5-Jajeczna Makaron krajanka 400 g,artykuly-spozywcze,Y,w porcji 100 g,368 kcal,3.2 g,0.9 g,69 g,1 g,3.4 g,14 g,0.05 g,
0000000207,Madero Chrzan tarty 160 g,artykuly-spozywcze,Y,w porcji 100 g,113 kcal,5.2 g,0.4 g,13 g,9.5 g,3.5 g,1.7 g,0.35 g,
