item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,polyols
0000006010,Lipton Royal Ceylon Herbata czarna 25 torebek 50 g,artykuly-spozywcze,Y,w porcji 100 ml,4 kcal,0.5 g,0.1 g,0.5 g,0.5 g,0.5 g,0.01 g,,
0000006935,Kamis Rozmaryn 15 g,artykuly-spozywcze,N,,,,,,,,,,
0000016647,"Tymbark Drugie Śniadanie Owoce Południa, Owsianka 100 g",artykuly-spozywcze,Y,w porcji 100 g,78 kcal,0.6 g,0.1 g,16 g,13 g,1 g,0.01 g,1.5 g,
0000009062,Łowicz Konfitura extra z truskawek o obniżonej zawartości cukrów 240 g,artykuly-spozywcze,Y,w porcji 100 g,169 kcal,0.5 g,0.1 g,40 g,40 g,0.5 g,0 g,,
0000005754,Przysnacki Chrupki o smaku zielona cebulka 150 g,artykuly-spozywcze,Y,w porcji 100 g,479 kcal,19 g,1.5 g,69 g,3.7 g,6.7 g,1.5 g,2.7 g,
0000015932,Łowicz Dżem truskawkowy o obniżonej zawartości cukrów 280 g,artykuly-spozywcze,Y,w porcji 100 g,142 kcal,0.5 g,0.1 g,35 g,35 g,0.5 g,0 g,,
0000017493,Twój Deser Budyń smak czekoladowy 5 x 40 g,artykuly-spozywcze,Y,w porcji 100 g,97 kcal,1.9 g,1.1 g,16 g,11 g,3.3 g,0.11 g,0.5 g,
0000006097,Mutti Pomidory bez skóry 400 g,artykuly-spozywcze,Y,w porcji 100 g,22 kcal,0.5 g,0.1 g,3.6 g,2.9 g,1.1 g,0.1 g,,
0000002712,"Teekanne Herbata zielona Green Tea Lemon 20 torebek x 1,75 g",artykuly-spozywcze,N,,,,,,,,,,
0000016243,Nestlé Cookie Crisp Zbożowe płatki w kształcie ciasteczek o smaku czekoladowym 375 g,artykuly-spozywcze,Y,w porcji 100 g,393 kcal,5.2 g,0.9 g,78 g,22.4 g,6.7 g,0.66 g,6 g,
0000009053,Crunchips X-Cut Ser & Cebula 140 g,artykuly-spozywcze,Y,w porcji 100 g,524 kcal,32 g,2.6 g,51 g,1 g,5.8 g,1.6 g,4.5 g,
0000013010,Mentos Pure Fresh Mint Butelka 60 g,artykuly-spozywcze,Y,w porcji 100 g,180 kcal,0 g,0 g,74 g,0 g,0 g,0 g,,72 g
0000016042,Winiary Pomysł na... Soczysty kurczak z papryką i ziołami 28 g,artykuly-spozywcze,N,,,,,,,,,,
0000006672,Łowicz Dżem 100 % owoców truskawka 210 g,artykuly-spozywcze,Y,w porcji 100 g,142 kcal,0.5 g,0.1 g,33 g,33 g,0.7 g,0 g,,
0000007111,Adalbert's Tea Earl Grey Herbata czarna (25 x 2 g) 50 g,artykuly-spozywcze,Y,w porcji 100 g,0 kcal,0 g,,0 g,,0 g,,,
0000009760,Kamis Musztarda francuska 185 g,artykuly-spozywcze,Y,w porcji 100 g,168 kcal,10 g,0.6 g,11 g,7.9 g,7.2 g,4.86 g,,
0000005845,Candi Tropikini Żelki o smaku owoców tropikalnych 200 g,artykuly-spozywcze,Y,w porcji 100 g,335 kcal,0.2 g,0.2 g,78 g,70 g,4.2 g,0 g,,
0000008794,Winiary Majonez Lekki 300 ml,artykuly-spozywcze,Y,w porcji 100 ml,338 kcal,33.2 g,2.8 g,8.4 g,4.6 g,1.1 g,1.1 g,0.1 g,
