item_id,nutrition_flag,wartość,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,kcal,kJ,kwasy tłuszczowe jednonienasycone,kwasy tłuszczowe wielonienasycone,alkohole wielowodorotlenowe - poliole,skrobia,w tym cukier
0000005755,Y,w porcji 100 g,1.2 g,0.5 g,51 g,3.1 g,3.1 g,9.6 g,1.45 g,260 kcal,1103 kj,,,,,
0000008447,Y,w porcji 100 g,14.6 g,2.83 g,27.1 g,2.75 g,,10.19 g,1.39 g,287 kcal,1200 kj,,,,,
0000003658,Y,w porcji 100 g,20 g,10 g,40 g,12 g,1.6 g,5.3 g,0.75 g,359 kcal,1502 kj,,,,,
0000003559,Y,w porcji 100 g,1.5 g,0.2 g,78.1 g,0.5 g,3.5 g,8.9 g,1 g,369 kcal,,,,,,
0000001261,Y,w porcji 100 g,1.2 g,0.3 g,47 g,2.9 g,3.2 g,6.8 g,1.4 g,232 kcal,,,,,,
0000004371,Y,w porcji 100 g,15 g,3.7 g,27 g,3.4 g,,5.4 g,1.6 g,268 kcal,1098 kj,,,,,
0000005344,Y,w porcji 100 g,1.2 g,0.3 g,58 g,2.2 g,3 g,9.5 g,1.6 g,287 kcal,1216 kj,,,,,
0000003831,Y,w porcji 100 g,9.02 g,3.76 g,35.3 g,2.83 g,,10.31 g,2.21 g,272 kcal,1137 kj,,,,,
0000007967,Y,w porcji 100 g,2.3 g,0.4 g,77 g,1.7 g,5.3 g,11 g,1.05 g,381 kcal,,,,,,
0000003516,Y,w porcji 100 g,3.2 g,1.7 g,50 g,2.9 g,,8.6 g,1.2 g,267 kcal,,,,,,
0000007165,Y,w porcji 100 g,6.3 g,0.8 g,43 g,2 g,3.6 g,12 g,1.4 g,294 kcal,1196 kj,,,,,
0000019229,Y,w porcji 100 g,4.3 g,0.6 g,52 g,2.1 g,3.3 g,8.8 g,1.4 g,290 kcal,1225 kj,,,,,
0000007408,Y,w porcji 100 g,2.6 g,0.4 g,47 g,3.8 g,4.5 g,10 g,1.4 g,263 kcal,1114 kj,,,,,
0000001949,Y,w porcji 100 g,1.4 g,0.4 g,72 g,4.4 g,4.2 g,11 g,1.8 g,351 kcal,,,,,,
0000005365,Y,w porcji 100 g,7.6 g,1.5 g,52 g,1.3 g,,11 g,1.5 g,329 kcal,1387 kj,,,,,
0000005412,Y,w porcji 100 g,5.1 g,3 g,48 g,0.7 g,,11 g,1.5 g,286 kcal,1208 kj,,,,,
0000009609,Y,w porcji 100 g,1.4 g,0.3 g,52 g,2 g,2.4 g,9 g,1.4 g,262 kcal,1109 kj,,,,,
0000002774,Y,w porcji 100 g,13 g,7.8 g,37 g,12 g,1.6 g,4.9 g,0.8 g,283 kcal,1185 kj,,,,,
0000006870,Y,w porcji 100 g,5.68 g,2.24 g,36.3 g,3.37 g,,10.37 g,1.98 g,248 kcal,1040 kj,,,,,
0000009829,Y,w porcji 100 g,7.97 g,0.83 g,23.08 g,2.35 g,,8.91 g,1.42 g,243 kcal,1017 kj,,,,,
0000008790,Y,w porcji 100 g,2.1 g,0.4 g,53 g,4.8 g,2.9 g,8.8 g,1.4 g,273 kcal,1158 kj,,,,,
0000000866,Y,w porcji 100 g,11 g,1.4 g,53 g,15 g,2.2 g,8.2 g,0.7 g,348 kcal,,,,,,
0000006417,N,,,,,,,,,,,,,,,
0000004823,Y,w porcji 100 g,25 g,8.9 g,27 g,3.8 g,,9 g,1.9 g,369 kcal,,,,,,
0000009559,Y,w porcji 100 g,16 g,7.1 g,28 g,2.4 g,2.2 g,6.2 g,0.98 g,287 kcal,1197 kj,,,,,
0000004690,Y,w porcji 100 g,16 g,1.5 g,34 g,2.5 g,7.8 g,12 g,1.3 g,333 kcal,1393 kj,,,,,
0000008625,Y,w porcji 100 g,3.2 g,0.6 g,44 g,2.5 g,2.9 g,8.7 g,1.6 g,245 kcal,1038 kj,,,,,
0000007204,Y,w porcji 100 g,28 g,14 g,42 g,17 g,,7 g,0.42 g,452 kcal,,,,,,
0000004628,Y,w porcji 100 g,4.6 g,0.6 g,46 g,2.3 g,6.2 g,9.8 g,1.3 g,277 kcal,,,,,,
0000009605,Y,w porcji 100 g,0.8 g,0.2 g,49 g,3.8 g,6.1 g,4.7 g,1.4 g,234 kcal,991 kj,,,,,
0000015363,Y,w porcji 100 g,3.9 g,0.7 g,45 g,5.1 g,3.3 g,9.9 g,1.1 g,262 kcal,,,,,,
0000005895,Y,w porcji 100 g,1.4 g,0.2 g,36 g,3 g,9.3 g,5.6 g,1.1 g,198 kcal,,,,,,
0000003557,Y,w porcji 100 g,0.9 g,0.2 g,77.6 g,0.5 g,6 g,8.2 g,1 g,363 kcal,,,,,,
0000001666,Y,w porcji 100 g,2.8 g,0.4 g,49 g,6.4 g,1.9 g,9.8 g,1.1 g,263 kcal,,,,,,
0000002077,Y,w porcji 100 g,3.2 g,0.5 g,52 g,4.8 g,4.5 g,9.7 g,0.91 g,283 kcal,,,,,,
0000008728,Y,w porcji 100 g,9.9 g,2.7 g,51 g,11 g,1.6 g,7 g,0.67 g,319 kcal,1343 kj,,,,,
0000004872,Y,w porcji 100 g,1 g,0.3 g,52 g,1.9 g,2.5 g,8.2 g,1.5 g,251 kcal,,,,,,
